category,column,column_clean
position_gps, Altitude (ft),Altitude (ft)
position_gps, Bearing (deg),Bearing (deg)
position_gps, Horz Accuracy (ft),Horz Accuracy (ft)
position_gps, Latitude (deg),Latitude (deg)
position_gps, Longitude (deg),Longitude (deg)
position_gps, Trip Distance (miles),Trip Distance (miles)
speed_accel,Accel (Grav) Norm (ft/s²),Accel (Grav) Norm (ft/s²)
speed_accel,Accel (Grav) Norm (m/s²),Accel (Grav) Norm (m/s²)
speed_accel, Accel (Grav) X (ft/s²),Accel (Grav) X (ft/s²)
speed_accel, Accel (Grav) Y (ft/s²),Accel (Grav) Y (ft/s²)
speed_accel, Accel (Grav) Z (ft/s²),Accel (Grav) Z (ft/s²)
speed_accel, Accel X (ft/s²),Accel X (ft/s²)
speed_accel, Accel Y (ft/s²),Accel Y (ft/s²)
speed_accel, Accel Z (ft/s²),Accel Z (ft/s²)
speed_accel, Acceleration (ft/s²),Acceleration (ft/s²)
speed_accel, GPS Speed (MPH),GPS Speed (MPH)
speed_accel, Vehicle speed (MPH),Vehicle speed (MPH)
speed_accel,Yaw-like rate from grav+rot (deg/s),Yaw-like rate from grav+rot (deg/s)
speed_accel,Yaw-like rate from grav+rot (rad/s),Yaw-like rate from grav+rot (rad/s)
powertrain, Absolute throttle position (%),Absolute throttle position (%)
powertrain, Boost (psi),Boost (psi)
powertrain, Calculated load value (%),Calculated load value (%)
powertrain, Engine coolant temperature (°F),Engine coolant temperature (°F)
powertrain, Engine Power (hp),Engine Power (hp)
powertrain, Engine RPM (RPM),Engine RPM (RPM)
powertrain, Engine Torque (lb•ft),Engine Torque (lb•ft)
powertrain, Fuel rate (gal/hr),Fuel rate (gal/hr)
powertrain, Input voltage read by the scan tool (V),Input voltage read by the scan tool (V)
powertrain, Instant fuel economy (MPG),Instant fuel economy (MPG)
powertrain, Intake air temperature (°F),Intake air temperature (°F)
powertrain, Intake manifold absolute pressure (inHg),Intake manifold absolute pressure (inHg)
powertrain, O2 voltage (Bank 1  Sensor 1) (V),O2 voltage (Bank 1 Sensor 1) (V)
powertrain, O2 voltage (Bank 1  Sensor 2) (V),O2 voltage (Bank 1 Sensor 2) (V)
trip_event, Idling Count,Idling Count
trip_event, Seconds Idling (sec),Seconds Idling (sec)
trip_event, Trip Duration (min),Trip Duration (min)
trip_event, Trip Fuel (gal),Trip Fuel (gal)
attitude_rotation,Course from GPS (deg),Course from GPS (deg)
attitude_rotation,Course from GPS (rad),Course from GPS (rad)
attitude_rotation,d(course)/dt (deg/s),d(course)/dt (deg/s)
attitude_rotation,d(course)/dt (rad/s),d(course)/dt (rad/s)
attitude_rotation, Pitch (deg),Pitch (deg)
attitude_rotation, Roll (deg),Roll (deg)
attitude_rotation, Rotation Rate X (deg/s),Rotation Rate X (deg/s)
attitude_rotation, Rotation Rate Y (deg/s),Rotation Rate Y (deg/s)
attitude_rotation, Rotation Rate Z (deg/s),Rotation Rate Z (deg/s)
magnetometer, Magnetometer X (µT),Magnetometer X (µT)
magnetometer, Magnetometer Y (µT),Magnetometer Y (µT)
magnetometer, Magnetometer Z (µT),Magnetometer Z (µT)
other, Mass air flow rate (lb/min),Mass air flow rate (lb/min)
other,t_s,t_s
